k,ProbOfMiss
0,100.0
1,40.0
3,28.8
5,23.04
7,19.36
9,16.72
11,14.72
13,13.12
15,11.81
17,10.7
19,9.76
21,8.94
23,8.23
25,7.59
27,7.03
29,6.52
31,6.06
33,5.65
35,5.27
37,4.93
39,4.61
41,4.32
43,4.05
45,3.8
47,3.57
49,3.36
51,3.16
53,2.98
55,2.81
57,2.65
59,2.5
61,2.36
63,2.23
65,2.11
67,1.99
69,1.88
71,1.78
73,1.69
75,1.6
77,1.51
79,1.43
81,1.36
83,1.29
85,1.22
87,1.16
89,1.1
91,1.04
93,0.99
95,0.94
97,0.89
99,0.85
101,0.81
103,0.76
105,0.73
107,0.69
109,0.66
111,0.62
113,0.59
115,0.56
117,0.54
119,0.51
121,0.49
123,0.46
125,0.44
127,0.42
129,0.4
131,0.38
133,0.36
135,0.34
137,0.33
139,0.31
141,0.3
143,0.28
145,0.27
147,0.26
149,0.24
151,0.23
153,0.22
155,0.21
157,0.2
159,0.19
161,0.18
163,0.17
165,0.17
167,0.16
169,0.15
171,0.14
173,0.14
175,0.13
177,0.12
179,0.12
181,0.11
183,0.11
185,0.1
187,0.1
189,0.09
191,0.09
193,0.08
195,0.08
197,0.08
199,0.07
201,0.07
203,0.07
205,0.06
207,0.06
209,0.06
211,0.06
213,0.05
215,0.05
217,0.05
219,0.05
221,0.04
223,0.04
225,0.04
227,0.04
229,0.04
231,0.03
233,0.03
235,0.03
237,0.03
239,0.03
241,0.03
243,0.03
245,0.02
247,0.02
249,0.02
251,0.02
253,0.02
255,0.02
257,0.02
259,0.02
261,0.02
263,0.02
265,0.02
267,0.01
269,0.01
271,0.01
273,0.01
275,0.01
277,0.01
279,0.01
281,0.01
283,0.01
285,0.01
287,0.01
289,0.01
291,0.01
293,0.01
295,0.01
297,0.01
299,0.01
301,0.01
303,0.01
305,0.01
307,0.01
309,0.01
311,0.01
313,0.01
315,0.0
317,0.0
319,0.0
321,0.0
323,0.0
325,0.0
327,0.0
329,0.0
331,0.0
333,0.0
335,0.0
337,0.0
339,0.0
341,0.0
343,0.0
345,0.0
347,0.0
349,0.0
351,0.0
353,0.0
355,0.0
357,0.0
359,0.0
361,0.0
363,0.0
365,0.0
367,0.0
369,0.0
371,0.0
373,0.0
375,0.0
377,0.0
379,0.0
381,0.0
383,0.0
385,0.0
387,0.0
389,0.0
391,0.0
393,0.0
395,0.0
397,0.0
399,0.0
401,0.0
403,0.0
405,0.0
407,0.0
409,0.0
411,0.0
413,0.0
415,0.0
417,0.0
419,0.0
421,0.0
423,0.0
425,0.0
427,0.0
429,0.0
431,0.0
433,0.0
435,0.0
437,0.0
439,0.0
441,0.0
443,0.0
445,0.0
447,0.0
449,0.0
451,0.0
453,0.0
455,0.0
457,0.0
459,0.0
461,0.0
463,0.0
465,0.0
467,0.0
469,0.0
471,0.0
473,0.0
475,0.0
477,0.0
479,0.0
481,0.0
483,0.0
485,0.0
487,0.0
489,0.0
491,0.0
493,0.0
495,0.0
497,0.0
499,0.0
501,0.0
503,0.0
505,0.0
507,0.0
509,0.0
511,0.0
513,0.0
515,0.0
517,0.0
519,0.0
521,0.0
523,0.0
525,0.0
527,0.0
529,0.0
531,0.0
533,0.0
535,0.0
537,0.0
539,0.0
541,0.0
543,0.0
545,0.0
547,0.0
549,0.0
551,0.0
553,0.0
555,0.0
557,0.0
559,0.0
561,0.0
563,0.0
565,0.0
567,0.0
569,0.0
571,0.0
573,0.0
575,0.0
577,0.0
579,0.0
581,0.0
583,0.0
585,0.0
587,0.0
589,0.0
591,0.0
593,0.0
595,0.0
597,0.0
599,0.0
601,0.0
603,0.0
605,0.0
607,0.0
609,0.0
611,0.0
613,0.0
615,0.0
617,0.0
619,0.0
621,0.0
623,0.0
625,0.0
627,0.0
629,0.0
631,0.0
633,0.0
635,0.0
637,0.0
639,0.0
641,0.0
643,0.0
645,0.0
647,0.0
649,0.0
651,0.0
653,0.0
655,0.0
657,0.0
659,0.0
661,0.0
663,0.0
665,0.0
667,0.0
669,0.0
671,0.0
673,0.0
675,0.0
677,0.0
679,0.0
681,0.0
683,0.0
685,0.0
687,0.0
689,0.0
691,0.0
693,0.0
695,0.0
697,0.0
699,0.0
701,0.0
703,0.0
705,0.0
707,0.0
709,0.0
711,0.0
713,0.0
715,0.0
717,0.0
719,0.0
721,0.0
723,0.0
725,0.0
727,0.0
729,0.0
731,0.0
733,0.0
735,0.0
737,0.0
739,0.0
741,0.0
743,0.0
745,0.0
747,0.0
749,0.0
751,0.0
753,0.0
755,0.0
757,0.0
759,0.0
761,0.0
763,0.0
765,0.0
767,0.0
769,0.0
771,0.0
773,0.0
775,0.0
777,0.0
779,0.0
781,0.0
783,0.0
785,0.0
787,0.0
789,0.0
791,0.0
793,0.0
795,0.0
797,0.0
799,0.0
801,0.0
803,0.0
805,0.0
807,0.0
809,0.0
811,0.0
813,0.0
815,0.0
817,0.0
819,0.0
821,0.0
823,0.0
825,0.0
827,0.0
829,0.0
831,0.0
833,0.0
835,0.0
837,0.0
839,0.0
841,0.0
843,0.0
845,0.0
847,0.0
849,0.0
851,0.0
853,0.0
855,0.0
857,0.0
859,0.0
861,0.0
863,0.0
865,0.0
867,0.0
869,0.0
871,0.0
873,0.0
875,0.0
877,0.0
879,0.0
881,0.0
883,0.0
885,0.0
887,0.0
889,0.0
891,0.0
893,0.0
895,0.0
897,0.0
899,0.0
901,0.0
903,0.0
905,0.0
907,0.0
909,0.0
911,0.0
913,0.0
915,0.0
917,0.0
919,0.0
921,0.0
923,0.0
925,0.0
927,0.0
929,0.0
931,0.0
933,0.0
935,0.0
937,0.0
939,0.0
941,0.0
943,0.0
945,0.0
947,0.0
949,0.0
951,0.0
953,0.0
955,0.0
957,0.0
959,0.0
961,0.0
963,0.0
965,0.0
967,0.0
969,0.0
971,0.0
973,0.0
975,0.0
977,0.0
979,0.0
981,0.0
983,0.0
985,0.0
987,0.0
989,0.0
991,0.0
993,0.0
995,0.0
997,0.0
999,0.0
