BetterThanMed,WorseThanMed,Percentage,ProbOfMiss
5338,5337,50.0% - 50.0%,31.25
5339,5336,50.01% - 49.99%,31.25
5340,5335,50.02% - 49.98%,31.24
5341,5334,50.03% - 49.97%,31.24
5342,5333,50.04% - 49.96%,31.23
5343,5332,50.05% - 49.95%,31.22
5344,5331,50.06% - 49.94%,31.22
5345,5330,50.07% - 49.93%,31.21
5346,5329,50.08% - 49.92%,31.21
5347,5328,50.09% - 49.91%,31.2
5348,5327,50.1% - 49.9%,31.19
5349,5326,50.11% - 49.89%,31.19
5350,5325,50.12% - 49.88%,31.18
5351,5324,50.13% - 49.87%,31.18
5352,5323,50.14% - 49.86%,31.17
5353,5322,50.15% - 49.85%,31.16
5354,5321,50.15% - 49.85%,31.16
5355,5320,50.16% - 49.84%,31.15
5356,5319,50.17% - 49.83%,31.15
5357,5318,50.18% - 49.82%,31.14
5358,5317,50.19% - 49.81%,31.13
5359,5316,50.2% - 49.8%,31.13
5360,5315,50.21% - 49.79%,31.12
5361,5314,50.22% - 49.78%,31.12
5362,5313,50.23% - 49.77%,31.11
5363,5312,50.24% - 49.76%,31.11
5364,5311,50.25% - 49.75%,31.1
5365,5310,50.26% - 49.74%,31.09
5366,5309,50.27% - 49.73%,31.09
5367,5308,50.28% - 49.72%,31.08
5368,5307,50.29% - 49.71%,31.08
5369,5306,50.3% - 49.7%,31.07
5370,5305,50.3% - 49.7%,31.06
5371,5304,50.31% - 49.69%,31.06
5372,5303,50.32% - 49.68%,31.05
5373,5302,50.33% - 49.67%,31.05
5374,5301,50.34% - 49.66%,31.04
5375,5300,50.35% - 49.65%,31.03
5376,5299,50.36% - 49.64%,31.03
5377,5298,50.37% - 49.63%,31.02
5378,5297,50.38% - 49.62%,31.02
5379,5296,50.39% - 49.61%,31.01
5380,5295,50.4% - 49.6%,31.0
5381,5294,50.41% - 49.59%,31.0
5382,5293,50.42% - 49.58%,30.99
5383,5292,50.43% - 49.57%,30.98
5384,5291,50.44% - 49.56%,30.98
5385,5290,50.44% - 49.56%,30.97
5386,5289,50.45% - 49.55%,30.97
5387,5288,50.46% - 49.54%,30.96
5388,5287,50.47% - 49.53%,30.95
5389,5286,50.48% - 49.52%,30.95
5390,5285,50.49% - 49.51%,30.94
5391,5284,50.5% - 49.5%,30.94
5392,5283,50.51% - 49.49%,30.93
5393,5282,50.52% - 49.48%,30.92
5394,5281,50.53% - 49.47%,30.92
5395,5280,50.54% - 49.46%,30.91
5396,5279,50.55% - 49.45%,30.91
5397,5278,50.56% - 49.44%,30.9
5398,5277,50.57% - 49.43%,30.89
5399,5276,50.58% - 49.42%,30.89
5400,5275,50.59% - 49.41%,30.88
5401,5274,50.59% - 49.41%,30.88
5402,5273,50.6% - 49.4%,30.87
5403,5272,50.61% - 49.39%,30.86
5404,5271,50.62% - 49.38%,30.86
5405,5270,50.63% - 49.37%,30.85
5406,5269,50.64% - 49.36%,30.84
5407,5268,50.65% - 49.35%,30.84
5408,5267,50.66% - 49.34%,30.83
5409,5266,50.67% - 49.33%,30.83
5410,5265,50.68% - 49.32%,30.82
5411,5264,50.69% - 49.31%,30.81
5412,5263,50.7% - 49.3%,30.81
5413,5262,50.71% - 49.29%,30.8
5414,5261,50.72% - 49.28%,30.8
5415,5260,50.73% - 49.27%,30.79
5416,5259,50.74% - 49.26%,30.78
5417,5258,50.74% - 49.26%,30.78
5418,5257,50.75% - 49.25%,30.77
5419,5256,50.76% - 49.24%,30.76
5420,5255,50.77% - 49.23%,30.76
5421,5254,50.78% - 49.22%,30.75
5422,5253,50.79% - 49.21%,30.75
5423,5252,50.8% - 49.2%,30.74
5424,5251,50.81% - 49.19%,30.73
5425,5250,50.82% - 49.18%,30.73
5426,5249,50.83% - 49.17%,30.72
5427,5248,50.84% - 49.16%,30.71
5428,5247,50.85% - 49.15%,30.71
5429,5246,50.86% - 49.14%,30.7
5430,5245,50.87% - 49.13%,30.7
5431,5244,50.88% - 49.12%,30.69
5432,5243,50.89% - 49.11%,30.68
5433,5242,50.89% - 49.11%,30.68
5434,5241,50.9% - 49.1%,30.67
5435,5240,50.91% - 49.09%,30.66
5436,5239,50.92% - 49.08%,30.66
5437,5238,50.93% - 49.07%,30.65
5438,5237,50.94% - 49.06%,30.65
5439,5236,50.95% - 49.05%,30.64
5440,5235,50.96% - 49.04%,30.63
5441,5234,50.97% - 49.03%,30.63
5442,5233,50.98% - 49.02%,30.62
5443,5232,50.99% - 49.01%,30.61
5444,5231,51.0% - 49.0%,30.61
5445,5230,51.01% - 48.99%,30.6
5446,5229,51.02% - 48.98%,30.59
5447,5228,51.03% - 48.97%,30.59
5448,5227,51.04% - 48.96%,30.58
5449,5226,51.04% - 48.96%,30.58
5450,5225,51.05% - 48.95%,30.57
5451,5224,51.06% - 48.94%,30.56
5452,5223,51.07% - 48.93%,30.56
5453,5222,51.08% - 48.92%,30.55
5454,5221,51.09% - 48.91%,30.54
5455,5220,51.1% - 48.9%,30.54
5456,5219,51.11% - 48.89%,30.53
5457,5218,51.12% - 48.88%,30.53
5458,5217,51.13% - 48.87%,30.52
5459,5216,51.14% - 48.86%,30.51
5460,5215,51.15% - 48.85%,30.51
5461,5214,51.16% - 48.84%,30.5
5462,5213,51.17% - 48.83%,30.49
5463,5212,51.18% - 48.82%,30.49
5464,5211,51.19% - 48.81%,30.48
5465,5210,51.19% - 48.81%,30.47
5466,5209,51.2% - 48.8%,30.47
5467,5208,51.21% - 48.79%,30.46
5468,5207,51.22% - 48.78%,30.45
5469,5206,51.23% - 48.77%,30.45
5470,5205,51.24% - 48.76%,30.44
5471,5204,51.25% - 48.75%,30.44
5472,5203,51.26% - 48.74%,30.43
5473,5202,51.27% - 48.73%,30.42
5474,5201,51.28% - 48.72%,30.42
5475,5200,51.29% - 48.71%,30.41
5476,5199,51.3% - 48.7%,30.4
5477,5198,51.31% - 48.69%,30.4
5478,5197,51.32% - 48.68%,30.39
5479,5196,51.33% - 48.67%,30.38
5480,5195,51.33% - 48.67%,30.38
5481,5194,51.34% - 48.66%,30.37
5482,5193,51.35% - 48.65%,30.36
5483,5192,51.36% - 48.64%,30.36
5484,5191,51.37% - 48.63%,30.35
5485,5190,51.38% - 48.62%,30.35
5486,5189,51.39% - 48.61%,30.34
5487,5188,51.4% - 48.6%,30.33
5488,5187,51.41% - 48.59%,30.33
5489,5186,51.42% - 48.58%,30.32
5490,5185,51.43% - 48.57%,30.31
5491,5184,51.44% - 48.56%,30.31
5492,5183,51.45% - 48.55%,30.3
5493,5182,51.46% - 48.54%,30.29
5494,5181,51.47% - 48.53%,30.29
5495,5180,51.48% - 48.52%,30.28
5496,5179,51.48% - 48.52%,30.27
5497,5178,51.49% - 48.51%,30.27
5498,5177,51.5% - 48.5%,30.26
5499,5176,51.51% - 48.49%,30.25
5500,5175,51.52% - 48.48%,30.25
5501,5174,51.53% - 48.47%,30.24
5502,5173,51.54% - 48.46%,30.23
5503,5172,51.55% - 48.45%,30.23
5504,5171,51.56% - 48.44%,30.22
5505,5170,51.57% - 48.43%,30.22
5506,5169,51.58% - 48.42%,30.21
5507,5168,51.59% - 48.41%,30.2
5508,5167,51.6% - 48.4%,30.2
5509,5166,51.61% - 48.39%,30.19
5510,5165,51.62% - 48.38%,30.18
5511,5164,51.63% - 48.37%,30.18
5512,5163,51.63% - 48.37%,30.17
5513,5162,51.64% - 48.36%,30.16
